Date,Open,High,Low,Close,Volume
29-06-2017,444.5,446.25,434,435.6,11085101
30-06-2017,433.9,435.6,428.05,432.55,4776892
03-07-2017,431.5,434.7,426.25,430.25,6230025
04-07-2017,434.2,436.4,426,426.9,5020683
05-07-2017,428.9,433.95,427.4,431.75,5050749
06-07-2017,435.4,438.8,433.8,437.1,4038188
07-07-2017,434.45,441.45,432.25,436.85,5311730
10-07-2017,460,460,442.55,446.95,1189742
11-07-2017,452,462.3,451,456.95,12069006
12-07-2017,461,463.8,456.6,461,6051540
13-07-2017,464.5,464.5,455.55,459.05,4382063
14-07-2017,460,460,450.4,451.3,3974269
17-07-2017,455,458.35,453.25,454.15,4922453
18-07-2017,452.6,459.5,452.6,456.15,2349268
19-07-2017,453,462.9,453,460.6,3395937
20-07-2017,463.5,464.35,457.35,460.15,3318626
21-07-2017,460,465.9,457.6,464.6,3150269
24-07-2017,464.95,468.35,461,464,3773074
25-07-2017,462.15,464.7,454.7,456.1,7052112
26-07-2017,457.2,458.7,455,457.3,3641559
27-07-2017,459,460.95,440.3,445.4,13738611
28-07-2017,444.6,447.45,442.45,445.85,3365171
31-07-2017,446.25,449.7,443.7,444.6,3804621
01-08-2017,446.55,452.35,445.7,446.9,4012791
02-08-2017,449.5,449.95,438.15,440.35,4045533
03-08-2017,441,441.5,429.6,431.45,6197142
04-08-2017,435.1,438.75,433.45,435.6,4166729
07-08-2017,438.6,439.8,425.3,430,6461815
08-08-2017,432,435.5,426,430,7134979
09-08-2017,428.8,429.9,415,416.05,10849567
10-08-2017,401,403.6,375.25,380.2,28114017
11-08-2017,376,379.1,358.5,374.5,14699477
14-08-2017,380,381.8,372.6,375.4,8216208
16-08-2017,379.45,390.7,375.5,389.25,11019760
17-08-2017,392.45,392.45,384.5,385.3,5971420
18-08-2017,381.75,383,377,380.4,5856198
21-08-2017,382,382.55,371.3,374.35,5123101
22-08-2017,378.8,379.95,372.25,373.6,4163794
23-08-2017,376,381.15,373.35,379.95,4448871
24-08-2017,380.1,385.95,380.1,384.15,5208541
28-08-2017,385.85,387.4,378.3,379.3,4403872
29-08-2017,379,382.35,374.45,376.1,4689547
30-08-2017,380.85,382.75,377.45,378.5,3734824
31-08-2017,380.05,380.45,375.8,376.55,4685511
01-09-2017,379.35,392.85,378.65,390.85,7380325
04-09-2017,393,396.05,380.5,383.4,8433560
05-09-2017,385.7,389.5,383.4,388.15,4477993
06-09-2017,385,386.7,381.85,382.7,5953907
07-09-2017,383.7,384.4,376,378.15,7938665
08-09-2017,381,381.8,374.05,375.05,7471355
11-09-2017,380,380,374.2,375.3,5402725
12-09-2017,378.7,390,375.5,388.25,9266823
13-09-2017,391,393.95,387.2,389.65,6537279
14-09-2017,390.75,406.6,390.25,404.4,11476571
15-09-2017,402.85,406.75,400,401.75,9675506
18-09-2017,411.85,413,403.2,404.95,8966503
19-09-2017,415,427.7,414,423.65,28208471
20-09-2017,422.75,422.75,413,414.8,5179160
21-09-2017,415.4,418.45,408.8,413.65,6946502
22-09-2017,414,422.15,408.85,411.8,9781308
25-09-2017,413.65,415.3,404.6,408.2,6957357
26-09-2017,409.4,413.9,403.3,411.25,5077291
27-09-2017,413.5,414.25,402,404.9,4727360
28-09-2017,406.95,406.95,399,401.4,4850748
29-09-2017,401.4,405,397.4,401.5,7520906
03-10-2017,428,428,415,416,9696920
04-10-2017,417.55,426,412.7,423.55,7663143
05-10-2017,423,425.8,420.1,423.3,4606192
06-10-2017,422,426,416.2,424.85,5308695
09-10-2017,424,432.1,423.05,425.6,4414381
10-10-2017,425.6,428.9,421.4,423.6,5057869
11-10-2017,424.9,424.9,414.1,415.5,4320451
12-10-2017,415.5,421.8,409.35,420.15,5442846
13-10-2017,421,429.3,418.9,424.8,6969434
16-10-2017,426.3,438,425.85,437.05,8476709
17-10-2017,435.75,435.75,430.2,432.3,5135763
18-10-2017,432.25,437.3,426.6,433.2,5539785
19-10-2017,433,433.1,424.25,426.95,1313380
23-10-2017,429.1,430.85,421,422.75,4013418
24-10-2017,422.75,423.8,415.05,416.05,4541742
25-10-2017,421,424.4,415.1,421.95,5666968
26-10-2017,421.7,422.4,417,419.4,6207936
27-10-2017,422.05,434.35,422.05,429.9,7414741
30-10-2017,428.25,440.95,428.25,436.55,7675104
31-10-2017,438.85,438.85,427.3,428.4,6214996
01-11-2017,430.95,439.95,428.45,437.75,7310931
02-11-2017,435.7,440.4,429.9,434.9,8262211
03-11-2017,434,449.35,432.65,447.7,8116263
06-11-2017,445.75,468,443.55,462.9,19456789
07-11-2017,458.2,465.9,450.05,451.85,13266543
08-11-2017,448,455,431.3,438.2,11193613
09-11-2017,442.1,450.9,425.65,440.15,40547266
10-11-2017,438.95,438.95,420,422.55,22534490
13-11-2017,423,427.5,416.1,418.1,9857544
14-11-2017,418.55,421.85,410.65,414.3,8987515
15-11-2017,414.3,417.55,407,408.65,9867270
16-11-2017,411.35,415.9,411.35,413.45,6291441
17-11-2017,419.45,423.45,417,421.8,6191428
20-11-2017,421,425.7,420.1,423,4051153
21-11-2017,424.45,430,422.5,424.25,6745407
22-11-2017,425.45,433,424.5,428.6,7899417
23-11-2017,428.6,431.05,422.45,426.25,7374216
24-11-2017,427,429.95,424.25,425.5,5108182
27-11-2017,423,424.75,417.8,421.4,7946028
28-11-2017,419.8,422.25,414.5,415.95,6217480
29-11-2017,415.9,419.45,412.05,413.95,4327453
30-11-2017,410.4,412.25,402.25,404.15,25646262
01-12-2017,407.9,410.25,396.5,398.9,7959197
04-12-2017,405.8,411.25,401.7,403.65,10043491
05-12-2017,404.55,405.5,396.55,402.25,7144542
06-12-2017,400.2,404,395,397.05,5573968
07-12-2017,398,405.3,397.15,402,7998863
08-12-2017,406,413.75,406,411.15,12288946
11-12-2017,412,415.2,409.05,410.15,5066242
12-12-2017,411.55,415.5,405.95,406.85,6151197
13-12-2017,407,409.85,400,401.95,5140689
14-12-2017,404,404.55,398.2,402.4,4674026
15-12-2017,406.5,409,404.2,405.1,5614113
18-12-2017,399,409.9,389.3,405.8,5356208
19-12-2017,407.35,421.7,407.35,420.1,9686883
20-12-2017,421.95,427.75,419.25,422.6,11191127
21-12-2017,424,426.05,419.55,420.8,4885225
22-12-2017,422.05,426.4,420.9,422,5345261
26-12-2017,422,425.15,421.15,424.2,3700655
27-12-2017,423.5,428.45,420.3,422.45,3673355
28-12-2017,423.5,423.7,416,418.6,5018893
29-12-2017,418,433.45,417.15,431.85,8640908
01-01-2018,430.95,436.4,422.25,424.45,6807536
02-01-2018,428.85,440.85,422,439.3,15331261
03-01-2018,440.4,441.4,431.95,433.9,9794953
04-01-2018,430,433.3,425.75,429.95,8395377
05-01-2018,431.25,436.35,429.8,431.6,7021611
08-01-2018,432,436.2,431.65,433.55,4635214
09-01-2018,434.25,443.5,433,437.55,12629045
10-01-2018,438,439.3,431.3,433.3,4702579
11-01-2018,433.5,437.6,432.9,434.75,4565005
12-01-2018,437,441.45,432.1,437.1,7408870
15-01-2018,438.05,440.05,431.05,432.35,4042775
16-01-2018,433,435.2,419.5,421.9,5623745
17-01-2018,422.05,424.5,410.1,422.95,10204447
18-01-2018,424,428.3,414.45,418.95,9579830
19-01-2018,415.2,421.95,415.05,418.05,3894062
22-01-2018,419.05,424.4,418.45,421.9,4643782
23-01-2018,422.8,422.8,414.75,418,6185011
24-01-2018,416,416.25,402.65,403.6,10789570
25-01-2018,403.45,407.65,398,400.3,16312167
29-01-2018,402.5,405.9,398.1,399.25,5789602
30-01-2018,400,402.3,395,395.85,6963005
31-01-2018,395.5,400.95,395.25,399.5,5111454
01-02-2018,399.9,403.8,390.55,393.65,7259426
02-02-2018,392,397.4,381.3,383.75,10070356
05-02-2018,381,398,380,395.8,9876017
06-02-2018,363,379.85,356.5,375.45,25294860
07-02-2018,380.4,385.4,375.2,377.8,12706795
08-02-2018,379.9,380,372.2,374.85,12452396
09-02-2018,369.9,373.2,368,368.75,8816777
12-02-2018,373.4,376.2,370.2,371.8,6002369
14-02-2018,372.9,382.3,370.6,376.85,9623436
15-02-2018,379.8,382.2,373.1,375.8,10225880
16-02-2018,378,379.4,367.6,370.75,8545282
19-02-2018,373.7,374.7,362.8,368.75,5658765
20-02-2018,370.35,370.9,366.5,369.3,3972114
21-02-2018,372.5,372.5,362.85,364.45,8640166
22-02-2018,363,363,357.5,358.5,10870704
23-02-2018,360.1,364.6,358.75,360.2,6751064
26-02-2018,362,373.5,362,372.05,10576794
27-02-2018,375,376.6,370.35,372.55,6156672
28-02-2018,370,373.65,367.15,369.9,8009429
01-03-2018,369.75,376.3,369.05,370.75,6991806
05-03-2018,368.75,368.75,350.1,352.05,14665325
06-03-2018,355.15,357.95,345,346.5,8876632
07-03-2018,345,355.3,343.25,347.8,15599393
08-03-2018,350.8,351.9,341.05,345.15,7674221
09-03-2018,345.55,348.7,340.15,341.5,5519224
12-03-2018,345,353.8,340.35,352.6,8238960
13-03-2018,352.6,356.45,350,353.15,6184241
14-03-2018,351,354.9,349.6,354.05,3820313
15-03-2018,354.05,358.4,351.1,353.1,4331145
16-03-2018,352.05,352.6,338.4,339.75,14205582
19-03-2018,341.2,342.1,332.55,335.7,9391347
20-03-2018,335.5,340.4,333.55,338.8,5080453
21-03-2018,339.9,342.25,332.25,333.85,6812442
22-03-2018,338.5,340.25,334.8,338.2,9255091
23-03-2018,330,334.8,329.6,330.85,8578297
26-03-2018,328.8,333.9,324.3,332.35,8907023
27-03-2018,333.95,335.8,330.1,331.15,6822448
28-03-2018,331.5,333.65,325.2,326.85,10975624
02-04-2018,335,340.8,332.7,339.15,9874486
03-04-2018,338.4,344.5,337.15,343.1,6989584
04-04-2018,346.8,363.7,346.25,355.6,27157199
05-04-2018,362.6,372.35,359.8,362.2,28886070
06-04-2018,362,368.35,356.45,364.1,13297051
09-04-2018,361.9,368.6,357,358.3,9555113
10-04-2018,360.5,362.35,351.5,353.25,8201215
11-04-2018,355,357.15,350.5,355.8,5622957
12-04-2018,358,364.4,357,358.4,13145938
13-04-2018,357.9,361,354.4,357.05,5935628
16-04-2018,350.8,352.8,337.55,339.15,19157051
17-04-2018,342.3,344.2,332.6,336.45,14241074
18-04-2018,338.2,339.75,333.4,334.8,6699271
19-04-2018,336.5,337,332.5,334.25,7087115
20-04-2018,335.95,343.25,334.6,336,11908652
23-04-2018,335.95,339.5,333,334.05,8056732
24-04-2018,334.8,335,330.6,331.55,9210931
25-04-2018,330.8,334,327.75,328.6,6306039
26-04-2018,329.9,335.95,326,330.25,16647689
27-04-2018,333,337.65,331.05,336.9,8804236
30-04-2018,338.5,342.75,337.25,340.4,5937740
02-05-2018,349.2,351.65,335,336.05,16022148
03-05-2018,335.5,335.9,329.15,333.5,6870513
04-05-2018,333.75,337.3,329.5,334.4,6660062
07-05-2018,337.85,337.85,333.7,335.15,3888627
08-05-2018,336.3,336.6,330.25,332.15,8114997
09-05-2018,331,347.25,331,341.95,19019847
10-05-2018,343.75,343.75,332.75,333.6,11158000
11-05-2018,334,334,330,330.8,7365579
14-05-2018,333,333,323,323.6,8312976
15-05-2018,324,324.05,305.7,310.1,15323964
16-05-2018,309.95,315.75,306.7,310.25,12051269
17-05-2018,313.1,319.5,309.3,314.9,10214660
18-05-2018,314.75,315,303.5,304.6,11688577
21-05-2018,304.75,307.2,294.7,295.9,11549490
22-05-2018,296.55,312.5,296.55,307.7,17199292
23-05-2018,311.1,317.25,305.4,309.45,17698475
24-05-2018,300,307.65,284.1,288.65,46104103
25-05-2018,290.4,297.45,286.25,294.15,19240172
28-05-2018,293.75,299.9,290.3,296.3,8516862
29-05-2018,296.8,300,293,294.65,9816561
30-05-2018,289.95,292.25,286.15,288.9,11649429
31-05-2018,289.95,290.85,281.6,282.5,28771987
01-06-2018,284.5,290.35,283.05,287.2,15840810
04-06-2018,292.5,293.85,286,286.65,10835487
05-06-2018,286.65,288.25,283.6,284.95,7456195
06-06-2018,286.85,296.9,285.25,295.65,19754001
07-06-2018,296.3,306.9,295.25,305.4,22839023
08-06-2018,305.7,315.55,302.4,309.95,27249374
11-06-2018,310.9,313.9,306.65,309.75,14650133
12-06-2018,310.95,313.65,307.2,307.8,7932388
