Date,Rate
1998-01-02,39.3
1998-01-05,39.4
1998-01-06,39.475
1998-01-07,39.65
1998-01-08,39.65
1998-01-09,39.75
1998-01-12,39.9
1998-01-13,39.85
1998-01-14,40.2
1998-01-15,40.65
1998-01-16,39.8
1998-01-19,39.05
1998-01-20,39
1998-01-21,38.75
1998-01-22,38.7
1998-01-23,38.625
1998-01-26,38.6
1998-01-27,38.25
1998-01-28,38.95
1998-01-29,38.55
1998-01-30,38.65
1998-02-02,38.95
1998-02-03,38.75
1998-02-04,38.7
1998-02-05,38.7
1998-02-06,38.65
1998-02-09,38.7
1998-02-10,38.675
1998-02-11,38.7
1998-02-12,38.75
1998-02-13,38.7
1998-02-16,38.85
1998-02-17,38.85
1998-02-18,38.8
1998-02-19,38.855
1998-02-20,38.85
1998-02-23,39.2
1998-02-24,39.25
1998-02-25,39.25
1998-02-26,39.27
1998-02-27,39.35
1998-03-02,39.5
1998-03-03,39.48
1998-03-04,39.45
1998-03-05,39.5
1998-03-06,39.5
1998-03-09,39.5
1998-03-10,39.5
1998-03-11,39.45
1998-03-12,39.47
1998-03-13,39.45
1998-03-16,39.45
1998-03-17,39.55
1998-03-18,39.525
1998-03-19,39.55
1998-03-20,39.475
1998-03-23,39.5
1998-03-24,39.5
1998-03-25,39.5
1998-03-26,39.5
1998-03-27,39.5
1998-03-30,39.5
1998-03-31,39.505
1998-04-01,39.5
1998-04-02,39.5
1998-04-03,39.51
1998-04-06,39.55
1998-04-07,39.75
1998-04-08,39.625
1998-04-09,39.6
1998-04-10,39.65
1998-04-13,39.6
1998-04-14,39.55
1998-04-15,39.71
1998-04-16,39.71
1998-04-17,39.68
1998-04-20,39.65
1998-04-21,39.685
1998-04-22,39.675
1998-04-23,39.675
1998-04-24,39.65
1998-04-27,39.73
1998-04-28,39.74
1998-04-29,39.75
1998-04-30,39.715
1998-05-01,39.75
1998-05-04,39.725
1998-05-05,39.765
1998-05-06,39.78
1998-05-07,39.775
1998-05-08,39.78
1998-05-11,39.76
1998-05-12,39.79
1998-05-13,39.8
1998-05-14,40.55
1998-05-15,40.62
1998-05-18,40.54
1998-05-19,40.505
1998-05-20,40.535
1998-05-21,40.553
1998-05-22,40.685
1998-05-25,41
1998-05-26,41.175
